"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"Law Abiding Citizen","7.4","F. Gary Gray","Kurt Wimmer","34","Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney, Bruce McGill, Michael Irby, Gregory Itzin, Regina Hall, Emerald-Angel Young, Christian Stolte, Annie Corley, Richard Portnow, Viola Davis, Michael Kelly, Josh Stewart, Roger Bart, Dan Bittner, Evan Hart","2009-11-20","United States","English","50000000","127944208","1 hour 49 minutes","India"
"The Evil Dead","7.4","Sam Raimi","Sam Raimi","71","Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker, Theresa Tilly, Philip A. Gillis, Dorothy Tapert, Cheryl Guttridge, Barbara Carey, David Horton, Wendall Thomas, Don Long, Stu Smith, Kurt Rauf, Ted Raimi, Ivan Raimi, Bill Vincent, Mary Beth Tapert","1984-01-02","United States","English","350000","2895590","1 hour 25 minutes","India"
"The Terminal","7.4","Steven Spielberg","Andrew Niccol, Sacha Gervasi, Jeff Nathanson","55","Tom Hanks, Catherine Zeta-Jones, Chi McBride, Stanley Tucci, Diego Luna, Barry Shabaka Henley, Kumar Pallana, Zoe Saldana, Eddie Jones, Jude Ciccolella, Corey Reynolds, Guillermo Diaz, Rini Bell, Stephen Mendel, Valeriy Nikolaev, Michael Nouri, Ana Maria Quintana, Bob Morrisey","2004-09-03","United States","English, Bulgarian, Spanish, Russian, Mandarin, German, French","60000000","219100084","2 hours 8 minutes","India"
"Corpse Bride","7.4","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel, John August","83","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley, Albert Finney, Richard E. Grant, Christopher Lee, Michael Gough, Jane Horrocks, Enn Reitel, Deep Roy, Danny Elfman, Stephen Ballantyne, Lisa Kay, Gary Martin","2005-10-31","United States","English","40000000","117237680","1 hour 17 minutes","India"
"Limitless","7.4","Neil Burger","Leslie Dixon, Alan Glynn","59","Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro, Andrew Howard, Johnny Whitworth, Tomas Arana, Robert John Burke, Darren Goldstein, Ned Eisenberg, T.V. Carpio, Richard Bekins, Patricia Kalember, Cindy Katz, Brian Anthony Wilson, Rebecca Dayan, Ann Marie Green, Damali Mason","2011-04-29","United States","English, Russian, Italian, Mandarin, French","27000000","161849455","1 hour 45 minutes","India"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","7.4","Larry Charles","Sacha Baron Cohen, Anthony Hines, Peter Baynham","89","Sacha Baron Cohen, Ken Davitian, Luenell, Chester, Charlie, Ilham Aliyev, Pamela Anderson, Bob Barr, Joseph Behar, Carole De Saram, Mitchell Falk, Jodi L. Goldfinger, Alan Keyes, Andre Myers, Jean-Pierre Parent, Chip Pickering, Bobby Rowe, Viva Sex","2007-03-30","United States, United Kingdom","English, Romanian, Hebrew, Polish, Armenian","18000000","262552893","1 hour 24 minutes","India"
"Beverly Hills Cop","7.4","Martin Brest","Daniel Petrie Jr., Danilo Bach","66","Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher, Ronny Cox, Steven Berkoff, James Russo, Jonathan Banks, Stephen Elliott, Gilbert R. Hill, Art Kimbro, Joel Bailey, Bronson Pinchot, Paul Reiser, Michael Champion, Frank Pesce, Gene Borkan, Michael Gregory","2020-07-31","United States","English","13000000","316360478","1 hour 45 minutes","India"
"Downtown Abbey","7.4","Michael Engler","Julian Fellowes","64","Stephen Campbell Moore, Michael Fox, Lesley Nicol, Sophie McShera, Robert James-Collier, Hugh Bonneville, Allen Leech, Michelle Dockery, Phyllis Logan, Laura Carmichael, Elizabeth McGovern, Jim Carter, Geraldine James, Imelda Staunton, Alex Crisp, Joanne Froggatt, Maggie Smith, Penelope Wilton","2019-10-18","United Kingdom, China, United States","English","13000000","194694725","2 hours 2 minutes","India"
"Bullitt","7.4","Peter Yates","Alan Trustman, Harry Kleiner, Robert L. Fish","81","Steve McQueen, Jacqueline Bisset, Robert Vaughn, Don Gordon, Robert Duvall, Simon Oakland, Norman Fell, Georg Stanford Brown, Justin Tarr, Carl Reindel, Felice Orlandi, Vic Tayback, Robert Lipton, Ed Peck, Pat Renella, Paul Genge, John Aprea, Al Checco","1968-10-17","United States","English","5500000","511852","1 hour 54 minutes","United States"
"Molly's Game","7.4","Aaron Sorkin","Aaron Sorkin, Molly Bloom","71","Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera, Jeremy Strong, Chris O'Dowd, J.C. MacKenzie, Brian d'Arcy James, Bill Camp, Graham Greene, Justin Kirk, Angela Gots, Natalie Krill, Stephanie Herfield, Madison McKinley, Joe Keery, Michael Kostroff, Claire Rankin","2018-01-05","United States, Canada, China","English","30000000","59284015","2 hours 20 minutes","United States"
"American Graffiti","7.4","George Lucas","George Lucas, Gloria Katz, Willard Huyck","97","Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams, Candy Clark, Mackenzie Phillips, Wolfman Jack, Bo Hopkins, Manuel Padilla Jr., Beau Gentry, Harrison Ford, Jim Bohan, Jana Bellan, Deby Celiz, Lynne Marie Stewart, Terence McGovern, Kathleen Quinlan","1982-07-22","United States","English","750000","115006578","1 hour 50 minutes","India"
"The Judge","7.4","David Dobkin","Nick Schenk, Bill Dubuque, David Dobkin","48","Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton, Vincent D'Onofrio, Jeremy Strong, Dax Shepard, Leighton Meester, Ken Howard, Emma Tremblay, Balthazar Getty, David Krumholtz, Grace Zabriskie, Denis O'Hare, Sarah Lancaster, Lonnie Farmer, Matt Riedy, Mark Kiely","2014-10-17","United States","English","50000000","84419388","2 hours 21 minutes","India"
"The Emperor's New Groove","7.4","Mark Dindal","Chris Williams, Mark Dindal, David Reynolds","70","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn, Geri Lee Gorowski, Jess Harnell, Sherry Lynn","2000-11-22","United States, Japan, France","English","100000000","169707314","1 hour 18 minutes","India"
"Back to the Future Part III","7.4","Robert Zemeckis","Robert Zemeckis, Bob Gale","55","Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Tom Wilson, Lea Thompson, Elisabeth Shue, Matt Clark, Richard Dysart, Pat Buttram, Harry Carey Jr., Dub Taylor, James Tolkan, Marc McClure, Wendie Jo Sperber, Jeffrey Weissman, Christopher Wynne, Sean Sullivan, Mike Watson","1991-05-03","United States","English","40000000","245077583","1 hour 58 minutes","India"
"Phantom Thread","7.4","Paul Thomas Anderson","Paul Thomas Anderson","90","Vicky Krieps, Daniel Day-Lewis, Lesley Manville, Julie Vollono, Sue Clark, Joan Brown, Harriet Leitch, Dinah Nicholson, Julie Duck, Maryanne Frost, Elli Banks, Amy Cunningham, Amber Brabant, Geneva Corlett, Juliet Glaves, Camilla Rutherford, Gina McKee, Philip Franks","2018-02-02","United States, China","English, French","35000000","48707766","2 hours 10 minutes","India"
"Gokseong","7.4","Na Hong-jin","Na Hong-jin","81","Jun Kunimura, Hwang Jung-min, Kwak Do-won, Chun Woo-hee, Kim Hwan-hee, Heo Jin, Jang So-yeon, Kim Do-yoon, Son Kang-gook, Park Sung-yeon, Chang-gyu Kil, Jeon Bae-soo, Jeong Mi-nam, Choi Gwi-hwa, Baek Seung-chul, Hyeok-Joon Kwon, Chae-ik Park, Kim Ki-chun","2020-06-03","South Korea, United States","Korean, Japanese","6420000","49851770","2 hours 36 minutes","India"
"Witness","7.4","Peter Weir","William Kelley, Pamela Wallace, Earl W. Wallace","76","Harrison Ford, Kelly McGillis, Lukas Haas, Josef Sommer, Jan Rubes, Alexander Godunov, Danny Glover, Brent Jennings, Patti LuPone, Angus MacInnes, Frederick Rolf, Viggo Mortensen, John Garson, Beverly May, Ed Crowley, Timothy Carhart, Sylvia Kauders, Marian Swan","1986-05-06","United States","English, German","12000000","68706993","1 hour 52 minutes","India"
"Tootsie","7.4","Sydney Pollack","Don McGuire, Larry Gelbart, Murray Schisgal","88","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman, Charles Durning, Bill Murray, Sydney Pollack, George Gaynes, Geena Davis, Doris Belack, Ellen Foley, Peter Gatto, Lynne Thigpen, Ronald L. Schwary, Debra Mooney, Amy Lawrence, Kenny Sinclair, Susan Merson","1982-12-17","United States","English","21000000","177200271","1 hour 56 minutes","United States"
"Eighth Year","7.4","Bo Burnham","Bo Burnham","85","Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan, Daniel Zolghadri, Fred Hechinger, Imani Lewis, Luke Prael, Catherine Oliviere, Nora Mullins, Missy Yager, Shacha Temirov, Greg Crowe, Thomas John O'Reilly, Frank Deal, J. Tucker Smith, Tiffany Grossfeld, David Shih","2019-05-13","United States","English","2000000","14347433","1 hour 33 minutes","India"
"Downton Abbey 2","7.4","Simon Curtis","Julian Fellowes","63","Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern, Allen Leech, Tuppence Middleton, Eva Samms, Karina Samms, Imelda Staunton, Fifi Hart, Oliver Barker, Zac Barker, Samantha Bond, Laura Carmichael, Harry Hadden-Paton, Penelope Wilton, Douglas Reith, Phyllis Logan","2022-05-20","United Kingdom, United States","English, French","40000000","92651384","2 hours 4 minutes","India"
"Minari","7.4","Lee Isaac Chung","Lee Isaac Chung","89","Steven Yeun, Han Ye-ri, Alan Kim, Noel Cho, Darryl Cox, Esther Moon, Ben Hall, Eric Starkey, Will Patton, Youn Yuh-jung, Jacob M Wade, James Carroll, Jenny Phagan, Tina Parker, Chloe Lee, Joel Telford, Scott Haze, Kaye Brownlee-France","2021-04-16","United States","Korean, English","2000000","15288578","1 hour 55 minutes","India"
"Mid90s","7.4","Jonah Hill","Jonah Hill","66","Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith, Olan Prenatt, Gio Galicia, Ryder McLaughlin, Alexa Demie, Fig Camila Abner, Liana Perlich, Ama Elsesser, Judah Estrella Borunda, Mecca Allen, Aramis Hudson, Sonny Greenback, Del the Funky Homosapien, Chad Muska, Donovon Piscopo","2018-10-26","United States","English","1700000","9303022","1 hour 25 minutes","United States"
"Invasion of the Body Snatchers","7.4","Philip Kaufman","W.D. Richter, Jack Finney","75","Donald Sutherland, Brooke Adams, Jeff Goldblum, Veronica Cartwright, Leonard Nimoy, Art Hindle, Lelia Goldoni, Kevin McCarthy, Don Siegel, Tom Luddy, Stan Ritchie, David Fisher, Tom Dahlgren, Garry Goodrow, Jerry Walter, Maurice Argent, Sam Conti, Wood Moy","1978-12-22","United States","English, French","3500000","24949050","1 hour 55 minutes","United States"
"Up in the Air","7.4","Jason Reitman","Walter Kirn, Jason Reitman, Sheldon Turner","83","George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman, Amy Morton, Melanie Lynskey, J.K. Simmons, Sam Elliott, Danny McBride, Zach Galifianakis, Christopher Lowell, Steve Eastin, Marvin Young, Cut Chemist, Adrienne Lamping, Meagan Flynn, Dustin Miles, Tamara Tungate","2010-02-19","United States","English","25000000","166842739","1 hour 49 minutes","India"
"Sully","7.4","Clint Eastwood","Todd Komarnicki, Chesley Sullenberger, Jeffrey Zaslow","74","Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey, Delphi Harrington, Mike O'Malley, Jamey Sheridan, Anna Gunn, Holt McCallany, Ahmed Lucan, Laura Lundy, Onira Tares, Gary Weeks, Katie Couric, Jeff Kober, Blake Jones, Molly Bernard, Chris Bauer","2016-09-09","United States","English","60000000","243870033","1 hour 36 minutes","India"
"Body Heat","7.4","Lawrence Kasdan","Lawrence Kasdan","77","William Hurt, Kathleen Turner, Richard Crenna, Ted Danson, J.A. Preston, Mickey Rourke, Kim Zimmer, Jane Hallaren, Lanna Saunders, Carola McGuinness, Michael Ryan, Larry Marko, Deborah Lucchesi, Lynn Hallowell, Thom Sharp, Ruth Thom, Diane Lewis, Robert Traynor","1981-09-18","United States","English","9000000","24058838","1 hour 53 minutes","India"
"The Land Before Time","7.4","Don Bluth","Stu Krieger, Judy Freudberg, Tony Geiss","66","Pat Hingle, Gabriel Damon, Helen Shaver, Bill Erwin, Candace Hutson, Burke Byrnes, Judith Barsi, Will Ryan, Frank Welker","1988-11-18","United States, Ireland","English","12500000","84704291","1 hour 9 minutes","United States"
"War for the Planet of the Apes","7.4","Matt Reeves","Mark Bomback, Matt Reeves, Rick Jaffa","82","Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Amiah Miller, Terry Notary, Ty Olsson, Michael Adamthwaite, Toby Kebbell, Gabriel Chavarria, Judy Greer, Sara Canning, Devyn Dalton, Aleks Paunovic, Alessandro Juliani, Max Lloyd-Jones, Timothy Webber, Lauro David Chartrand-Del Valle","2017-07-14","United States","English, American Sign Language","150000000","490719763","2 hours 20 minutes","India"
"K-PAX","7.4","Iain Softley","Gene Brewer, Charles Leavitt","49","Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard, David Patrick Kelly, Saul Williams, Peter Gerety, Celia Weston, Ajay Naidu, Tracy Vilar, Melanee Murray, John Toles-Bey, Kimberly Scott, Conchata Ferrell, Vincent Laresca, Mark Christopher Lawrence, Brian Howe, Mary Mara","2001-10-26","United States, Germany","English","68000000","65001485","2 hours","United States"
"Sherlock Holmes: A Game of Shadows","7.4","Guy Ritchie","Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle","48","Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams, Noomi Rapace, Stephen Fry, Paul Anderson, Kelly Reilly, Geraldine James, Eddie Marsan, William Houston, Wolf Kahler, Iain Mitchell, Jack Laskey, Patricia Slater, Karima McAdams, Richard Cunningham, Marcus Shakesheff","2011-12-30","United States","English, French, Italian, German, Romany","125000000","543848418","2 hours 9 minutes","India"
"The Painted Veil","7.4","John Curran","Ron Nyswaner, W. Somerset Maugham","69","Naomi Watts, Edward Norton, Liev Schreiber, Catherine An, Bin Li, Bin Wu, Alan David, Marie-Laure Descoureaux, Sally Hawkins, Juliet Howland, Toby Jones, Lorraine Laurence, Gwing-Gai Lee, Li Feng, Gesang Meiduo, Yin Qing, Ian Renwick, Diana Rigg","2006-12-29","China, Canada, United States, Hong Kong","English, Mandarin, French","19400000","26910847","2 hours 5 minutes","China"
"Inside Llewyn Davis","7.4","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","93","Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund, Justin Timberlake, Ethan Phillips, Robin Bartlett, Max Casella, Jerry Grayson, Jeanine Serralles, Adam Driver, Stark Sands, Alex Karpovsky, Helen Hong, Bradley Mott, Michael Rosner, Bonnie Rose, Jack O'Connell","2014-01-10","United States, United Kingdom, France","English","11000000","32962157","1 hour 44 minutes","India"
"High Fidelity","7.4","Stephen Frears","Nick Hornby, D.V. DeVincentis, Steve Pink","79","John Cusack, Iben Hjejle, Todd Louiso, Jack Black, Lisa Bonet, Catherine Zeta-Jones, Joan Cusack, Tim Robbins, Chris Rehmann, Ben Carr, Lili Taylor, Joelle Carter, Natasha Gregson Wagner, Shannon Stillo, Drake Bell, Laura Whyte, Sara Gilbert, Rich Talarico","2000-03-31","United Kingdom, United States","English, Danish","30000000","47126295","1 hour 53 minutes","United States"
"Open Range","7.4","Kevin Costner","Lauran Paine, Craig Storper","67","Kevin Costner, Robert Duvall, Diego Luna, Abraham Benrubi, Annette Bening, Michael Gambon, Michael Jeter, James Russo, Dean McDermott, Kim Coates, Herb Kohler, Peter MacNeill, Cliff Saunders, Patricia Stutz, Julian Richings, Ian Tracey, Rod Wilson, Diego Diablo Del Mar","2003-08-15","United States","English","22000000","68296293","2 hours 19 minutes","United States"
"Garden Flower","7.4","Zach Braff","Zach Braff","67","Zach Braff, Peter Sarsgaard, Natalie Portman, Ian Holm, Kenneth Graymez, George C. Wolfe, Austin Lysy, Gary Gilbert, Jill Flint, Alex Burns, Jackie Hoffman, Michael Weston, Christopher Carley, Armando Riesco, Amy Ferguson, Trisha LaFache, Jim Parsons, Jean Smart","2004-08-20","United States","English, Klingon","2500000","35825316","1 hour 42 minutes","United States"
"Begin Again","7.4","John Carney","John Carney","62","Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld, James Corden, Yasiin Bey, Karen Pittman, Paul Romero, Catherine Keener, Andrew Sellon, Ed Renninger, Eric Burton, Marco Assante, Mary Catherine Garrison, Jen Jacob, Rob Morrow, Jennifer Li Jackson, Ian Brodsky","2014-07-18","United States","English","8000000","105539577","1 hour 44 minutes","India"
"Army of Darkness","7.4","Sam Raimi","Sam Raimi, Ivan Raimi","59","Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove, Michael Earl Reid, Timothy Patrick Quill, Bridget Fonda, Patricia Tallman, Ted Raimi, Deke Anderson, Bruce Thomas, Sara Shearer, Shiva Gordon, Billy Bryan, Nadine Grycan, Bill Moseley, Micheal Kenney","1993-06-11","United States","English","11000000","11514639","1 hour 21 minutes","India"
"The Mission","7.4","Roland Joffé","Robert Bolt","55","Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn, Cherie Lunghi, Ronald Pickup, Chuck Low, Liam Neeson, Bercelio Moya, Sigifredo Ismare, Asuncion Ontiveros, Alejandrino Moya, Daniel Berrigan, Rolf Gray, Álvaro Guerrero, Tony Lawn, Joe Daly, Carlos Duplat","1992-07-03","United Kingdom, France, United States","English, Guarani, Spanish, Latin","24500000","17503446","2 hours 5 minutes","India"
"A Bridge Too Far","7.4","Richard Attenborough","Cornelius Ryan, William Goldman","63","Sean Connery, Ryan O'Neal, Michael Caine, Laurence Olivier, Siem Vroom, Marlies van Alcmaer, Erik van 't Wout, Wolfgang Preiss, Hans von Borsody, Josephine Peeper, Dirk Bogarde, Paul Maxwell, Gene Hackman, Walter Kohut, Peter Faber, Hartmut Becker, Frank Grimes, Jeremy Kemp","1977-06-15","United States, United Kingdom","English, German, Dutch, Polish, Latin","27000000","50750000","2 hours 55 minutes","United States"
"The Way Way Back","7.4","Nat Faxon, Jim Rash","Nat Faxon, Jim Rash","68","Steve Carell, Toni Collette, Allison Janney, AnnaSophia Robb, Sam Rockwell, Maya Rudolph, Liam James, Rob Corddry, Amanda Peet, River Alexander, Zoe Levin, Nat Faxon, Jim Rash, Adam Riegler, Jeremy Weaver, Robert Capron, Rodney Lodge, Devon Werden","2013-07-26","United States","English","5000000","26474920","1 hour 43 minutes","United States"
"Life as a House","7.4","Irwin Winkler","Mark Andrus","45","Hayden Christensen, Kevin Kline, Kristin Scott Thomas, Jena Malone, Mary Steenburgen, Mike Weinberg, Scotty Leavenworth, Ian Somerhalder, Jamey Sheridan, Scott Bakula, Sandra Nelson, Sam Robards, John Pankow, Kim Delgado, Barry Primus, Margo Winkler, Brandon Kessel, Jon Foster","2001-11-09","United States","English","27000000","23903791","2 hours 5 minutes","United States"
